"","Date","Province.State","Country","Lat","Long","Confirmed","Recovered","Deaths","Active"
"49748",2020-12-13,"","Lesotho",-29.61,28.2336,2250,1319,44,887
"49749",2020-12-13,"","Liberia",6.428055,-9.429499,1676,1358,83,235
"49750",2020-12-13,"","Libya",26.3351,17.228331,90779,60895,1299,28585
"49751",2020-12-13,"","Liechtenstein",47.14,9.55,1514,1296,20,198
"49752",2020-12-13,"","Lithuania",55.1694,23.8813,93101,38893,815,53393
"49753",2020-12-13,"","Luxembourg",49.8153,6.1296,40755,31678,392,8685
"49754",2020-12-13,"","MS Zaandam",0,0,9,7,2,0
"49755",2020-12-13,"","Madagascar",-18.766947,46.869107,17587,16992,259,336
"49756",2020-12-13,"","Malawi",-13.2543,34.3015,6066,5491,187,388
"49757",2020-12-13,"","Malaysia",4.210484,101.975766,83475,69393,415,13667
"49758",2020-12-13,"","Maldives",3.2028,73.2207,13368,12706,48,614
"49759",2020-12-13,"","Mali",17.570692,-3.996166,5814,3591,194,2029
"49760",2020-12-13,"","Malta",35.9375,14.3754,11153,9169,169,1815
"49761",2020-12-13,"","Marshall Islands",7.1315,171.1845,4,4,0,0
"49762",2020-12-13,"","Mauritania",21.0079,-10.9408,10971,8076,225,2670
"49763",2020-12-13,"","Mauritius",-20.348404,57.552152,515,478,10,27
"49764",2020-12-13,"","Mexico",23.6345,-102.5528,1250044,918681,113953,217410
"49765",2020-12-13,"","Moldova",47.4116,28.3699,126518,108901,2572,15045
"49766",2020-12-13,"","Monaco",43.7333,7.4167,668,597,3,68
"49767",2020-12-13,"","Mongolia",46.8625,103.8467,912,384,0,528
"49768",2020-12-13,"","Montenegro",42.708678,19.37439,41426,30493,582,10351
"49769",2020-12-13,"","Morocco",31.7917,-7.0926,399609,356023,6624,36962
"49770",2020-12-13,"","Mozambique",-18.665695,35.529562,16954,0,142,16812
"49771",2020-12-13,"","Namibia",-22.9576,18.4904,16536,14684,160,1692
"49772",2020-12-13,"","Nepal",28.1667,84.25,248423,235731,1698,10994
"49773",2020-12-13,"Aruba","Netherlands",12.5211,-69.9683,5049,4896,46,107
"49774",2020-12-13,"Bonaire, Sint Eustatius and Saba","Netherlands",12.1784,-68.2385,175,165,3,7
"49775",2020-12-13,"Curacao","Netherlands",12.1696,-68.99,3624,1736,11,1877
"49776",2020-12-13,"Sint Maarten","Netherlands",18.0425,-63.0548,1232,1075,26,131
"49777",2020-12-13,"","Netherlands",52.1326,5.2913,613487,0,10048,603439
"49778",2020-12-13,"","New Zealand",-40.9006,174.886,2096,2015,25,56
"49779",2020-12-13,"","Nicaragua",12.865416,-85.207229,5887,4225,162,1500
"49780",2020-12-13,"","Niger",17.607789,8.081666,2258,1292,80,886
"49781",2020-12-13,"","Nigeria",9.082,8.6753,73175,66090,1197,5888
"49782",2020-12-13,"","North Macedonia",41.6086,21.7453,73638,49414,2121,22103
"49783",2020-12-13,"","Norway",60.472,8.4689,41003,17998,387,22618
"49784",2020-12-13,"","Oman",21.512583,55.923255,126240,118048,1471,6721
"49785",2020-12-13,"","Pakistan",30.3753,69.3451,440787,384719,8832,47236
"49786",2020-12-13,"","Panama",8.538,-80.7821,193007,162105,3356,27546
"49787",2020-12-13,"","Papua New Guinea",-6.314993,143.95555,725,601,8,116
"49788",2020-12-13,"","Paraguay",-23.4425,-58.4438,93582,66543,1953,25086
"49789",2020-12-13,"","Peru",-9.19,-75.0152,980943,916335,36544,28064
"49790",2020-12-13,"","Philippines",12.879721,121.774017,449400,418687,8733,21980
"49791",2020-12-13,"","Poland",51.9194,19.1451,1135676,858895,22864,253917
"49792",2020-12-13,"","Portugal",39.3999,-8.2245,348744,271322,5559,71863
"49793",2020-12-13,"","Qatar",25.3548,51.1839,140961,138490,240,2231
"49794",2020-12-13,"","Romania",45.9432,24.9668,556335,457360,13385,85590
